Name,City,Region,Property Type,Size(sqft),Bedrooms,Bathrooms,Price,Size_Category
"Luxurious 4-Bedroom 4000 sq ft Apt. For Rent at Baridhara, Dhaka",Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
"1265 Sq Ft Flat For Rent In Nobodoy Housing Society, Mohammadpur",Mohammadpur,Dhaka,Apartment,1265,3,3,18000,1001-1500
An Affluent Full Furnished  Home Is In Baridhara Is Ready For Rent Near Zaman Medical Hall,Baridhara,Dhaka,Apartment,4750,4,4,350000,
A Finely Built 4750 Sq Ft full furnished  Flat Is Up For Rent In Baridhara.,Baridhara,Dhaka,Apartment,4750,4,4,350000,
"In The Location Of Bashundhara , 3 Bedroom Apartment Is Up To Rent Near Oxford Foundation School.",Bashundhara R-A,Dhaka,Apartment,1300,3,3,40000,1001-1500
"Near Nobodoy Housing Society Jame Mosjid, Flat For Rent In Mohammadpur",Mohammadpur,Dhaka,Apartment,1150,3,3,15000,1001-1500
A Nice Residential Flat For Rent Can Be Found In Bashundhara Nearby Bashundhara Eye Hospital,Bashundhara R-A,Dhaka,Apartment,1550,3,4,25000,1501-2000
This Apartment Of 2500 Sq Ft Full Well Furnished Is Available For Rent In Khulshi,Khulshi,Chattogram,Apartment,2500,4,4,55000,2001-2500
Luxurious Living In Baridhara | Spacious 4-bedroom 4000 Sq Ft Apartment For Rent,Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
Prominent 4-bedroom 4000 Sq Ft Apartment For Rent In Baridhara,Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
Sophisticated 4-bedroom 4000 Sq Ft Apartment For Rent In Baridhara,Baridhara,Dhaka,Apartment,4000,4,4,420000,3501-4000
Best Location In Baridhara | Spacious And Bright 4 Bed Apt. | For Rent,Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
Visit This Apartment For Rent In Baitul Aman Housing Society Near Baitul Aman Housing Society Jame Mosque,Adabor,Dhaka,Apartment,1200,3,3,20000,1001-1500
"A Nice 1650 Sq Ft Apartment For Rent At Kazi Nazrul Islam Evenue, Banglamotors, Dhaka.",Banglamotors,Dhaka,Apartment,1650,3,4,40000,1501-2000
750 Square Feet Flat Is Available For Rent At Pc Culture Housing With Friendly Budget,Mohammadpur,Dhaka,Apartment,750,2,2,17000,501-1000
2142 SQ FT flat for Rent in Uttara near Kacha Bazar,Uttara,Dhaka,Apartment,2142,4,4,60000,2001-2500
Excellent Flat Of 3000 Sq Ft Is All Set For Rent In The Fine Location Of Gulshan 1,Gulshan,Dhaka,Apartment,3000,4,4,200000,2501-3000
Lovely Apartment Of 2600 Sq Ft Is Up For Rent In Gulshan 1,Gulshan,Dhaka,Apartment,2600,3,3,150000,2501-3000
"This 3300 SQ Ft apartment ready for rent at Gulshan 1, near Embassy of North Korea",Gulshan,Dhaka,Apartment,3300,3,3,100000,3001-3500
Convenient 1500 Sq Ft Apartment Is Now For Rent In Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1500,3,3,18000,1001-1500
Pleasant 1265 Sq Ft Flat For Rent In Nobodoy Housing Society,Mohammadpur,Dhaka,Apartment,1265,3,3,18000,1001-1500
Luxury All Around In This 3343 Sq. Ft Gulshan 1 Flat Which Is Near To Singapore School Kinderland.,Gulshan,Dhaka,Apartment,3343,3,4,140000,3001-3500
Residential Apartment Is Up For Rent In Mohammadpur Nearby Pc Culture Housing Society Jam-e-masjid,Mohammadpur,Dhaka,Apartment,900,3,2,18000,501-1000
A Ready 1450 Sq Ft Flat Is Available For Rent At West Madarbari Nearby West Madarbari City Corporation Girls' High School,29 No. West Madarbari Ward,Chattogram,Apartment,1450,3,3,20000,1001-1500
1150 Sq Ft Convenient Flat For Rent In East Rampura,Rampura,Dhaka,Apartment,1150,3,2,18000,1001-1500
Beautiful Apartment Covering An Area Of 2300 Sq Ft Is Up For Rent In Baridhara,Baridhara,Dhaka,Apartment,2300,3,3,75000,2001-2500
1365 Square Feet Decent Apartment For Rent In Adabor,Adabor,Dhaka,Apartment,1365,3,3,25000,1001-1500
Seize This 700 Sq Ft Feet Apartment Ready For Rent In Mirpur-1,Mirpur,Dhaka,Apartment,700,2,2,15000,501-1000
1300 Sq Ft Impressive Flat For Rent In Malibagh,Malibagh,Dhaka,Apartment,1300,3,3,25000,1001-1500
This 3200 Sq Ft Flat For Rent In Baridhara-10,Baridhara,Dhaka,Apartment,3200,3,4,250000,3001-3500
We Would Like To Present You A Beautiful 4 Bedroom Flat For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,3500,4,4,260000,3001-3500
1800 Sq Ft Flat Is Available For Rent In Bashundhara R/A,Bashundhara R-A,Dhaka,Apartment,1800,3,4,25000,1501-2000
Eminent 2270 Sq Ft Residential Space Is Up For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,2270,3,3,150000,2001-2500
A Reasonable 1180 Sq Ft Flat Is Ready To Rent In Borobag,Mirpur,Dhaka,Apartment,1180,3,2,18000,1001-1500
"Offering You A 2200 Sq Ft Nice Flat For Rent In South Banasree Project, Banasree",Banasree,Dhaka,Apartment,2200,4,3,30000,2001-2500
Attractively Constructed Apartment For Rent At Nasirabad Housing Society Nearby Sunshine Grammar School & College,Muradpur,Chattogram,Apartment,1800,3,3,30000,1501-2000
"Beautiful And Well-constructed 2941 Sq Ft Flat Is Ready To Rent At Gulshan 2, Nearby Gulshan 2 Park",Gulshan,Dhaka,Apartment,2941,4,4,160000,2501-3000
Get comfortable in a 1450 SQ FT flat for rent in Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1450,3,3,26000,1001-1500
Discover Your Place in a 1375 Sq Ft Structurally Well Built Flat for Rent in Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1375,3,3,25000,1001-1500
"Checkout This 1250 Square Feet Apartment For Rent In Mohammadpur, Pc Culture Housing",Mohammadpur,Dhaka,Apartment,1250,3,3,22000,1001-1500
A Well-constructed Beautiful 3000 Sq Ft Apartment Is Ready To Rent In Gulshan,Gulshan,Dhaka,Apartment,3000,3,4,111000,2501-3000
"2000 Sq Ft Modern Flat With Good Accommodations Is Up For Rent In Bashundhara R-a, Block J",Bashundhara R-A,Dhaka,Apartment,2000,3,3,36000,1501-2000
"Dakkhin Paikpara, Offers You This Lovely Home Of 3 Bedroom Which Is Vacant Right Now",Mirpur,Dhaka,Apartment,1335,3,3,18000,1001-1500
For rental purpose 1250 Square feet flat is available in Uttara near to I. E. S School & College,Uttara,Dhaka,Apartment,1250,3,3,26000,1001-1500
Check this 2200 sq. ft flat for rent which is in Banasree,Banasree,Dhaka,Apartment,2200,4,4,25000,2001-2500
A 1060 SQ Ft beautiful apartment for rent is all set for you in Chatogram close to Kalurghat BSCIC Industrial Area,4 No Chandgaon Ward,Chattogram,Apartment,1060,2,2,15000,1001-1500
"At Sohrawardy Avenue, Flat For Rent Close To Baridhara Jame Masjid",Baridhara,Dhaka,Apartment,4200,4,4,280000,
Check This 1300 Sq. ft Flat For Rent Which Is In Mohammadpur,Mohammadpur,Dhaka,Apartment,1300,3,3,45000,1001-1500
Well-developed 1300 Sq Ft Residence Up For Rent In Malibagh,Malibagh,Dhaka,Apartment,1300,3,3,27000,1001-1500
"An Apartment Is Ready For Rent At South Monipur, Near South Monipur Jam-E Masjid",Mirpur,Dhaka,Apartment,1150,3,2,20000,1001-1500
To Get A Hassle Free Life You Can Take Rent This 2000 Sq Ft Home In Banani,Banani,Dhaka,Apartment,2000,3,3,70000,1501-2000
"Start Living In This Gorgeous Full Furnished Apartment Of 1250 Sq Ft In Block D, Bashundhara R/A",Bashundhara R-A,Dhaka,Apartment,1250,3,3,40000,1001-1500
A Comfortable And Convenient 1050 Sq. ft Apartment Is Ready For Rent At Malibagh Chowdhury Para,Malibagh,Dhaka,Apartment,1050,2,2,20000,1001-1500
Mohammadpur Is Giving You A 750 Square Feet Apartment For Rent,Mohammadpur,Dhaka,Apartment,750,2,2,16000,501-1000
Flat For Rent In Mohammadpur Close To Kisholoy Girls School And College,Mohammadpur,Dhaka,Apartment,650,2,2,16000,501-1000
"Notable 1900 Sq Ft Flat For Rent In Gulshan, Near City Bank",Gulshan,Dhaka,Apartment,1900,3,3,90000,1501-2000
"Offering You A Flat For Rent In Gulshan 1, Near Actionaid Bangladesh",Gulshan,Dhaka,Apartment,3000,4,4,140000,2501-3000
800 SQ FT flat near Mohammadpur High School for Rent in Mohammadpur,Mohammadpur,Dhaka,Apartment,800,2,2,17000,501-1000
A Very Nice 1050 Sq Ft Flat Is Now Available For Rent Nearby Pc Culture Housing Society Jam-e-masjid In Mohammadpur,Mohammadpur,Dhaka,Apartment,1050,3,2,20000,1001-1500
Take Rent This 800 Sq Ft Nice Flat For Living A Pleasant Life In Mohammadia Housing Society,Mohammadpur,Dhaka,Apartment,800,2,2,17000,501-1000
Get A Look At This Lovely Flat For Rent Featuring 1250 Sq Ft In Mohammadpur,Mohammadpur,Dhaka,Apartment,1250,3,3,26000,1001-1500
Check This 1450 Sq Ft Flat For Rent Which Is In Shiddheswari,Shiddheswari,Dhaka,Apartment,1450,3,3,35000,1001-1500
3000 Square Feet Fully Furnished Apartment For Rent In Gulshan 1,Gulshan,Dhaka,Apartment,3000,4,4,200000,2501-3000
Find your desired apartment at this 3100 SQ Ft ready flat for rent at Gulshan 1 nearby Indian Visa Application Center.,Gulshan,Dhaka,Apartment,3100,3,3,200000,3001-3500
Ready 1500 SQ FT apartment is now to Rent in Kallyanpur,Mirpur,Dhaka,Apartment,1500,3,3,17000,1001-1500
A 2200 Sq Ft Residence In Gulshan Is Presently Available For Rent,Gulshan,Dhaka,Apartment,2200,3,3,200000,2001-2500
Uniquely Designed 4800 Sq Ft Apartment Is Up For Rent In Banani,Banani,Dhaka,Apartment,4800,3,3,300000,
A rightly planned 1050 SQ FT residence is found for rent in Shiddheswari,Shiddheswari,Dhaka,Apartment,1050,3,3,25000,1001-1500
Attention Home Finders! A 1750 Sq. ft Flat Is Up For Rent At New Eskaton Road.,Eskaton,Dhaka,Apartment,1750,3,3,35000,1501-2000
"A 1200 Square Feet Beautiful Apartment For Rent In Adabor, Baitul Aman Housing Society",Adabor,Dhaka,Apartment,1200,3,3,18000,1001-1500
For Rental Purpose This Nice Flat Is Now Available In Mehidibag Near Max Hospital & Diagnostic Ltd.,15 No. Bagmoniram Ward,Chattogram,Apartment,1790,3,4,35000,1501-2000
"Spacious 2,200 Sq Ft North-facing 4 Bedroom Apartment Is Ready To Rent In Mirpur Dohs, Dhaka",Mirpur,Dhaka,Apartment,2200,3,3,120000,2001-2500
"Find Your Desired Home At This 3200 Sq Ft Well Featured Flat For Rent At Block K, Baridhara",Baridhara,Dhaka,Apartment,3200,3,3,110000,3001-3500
"In Bashundhara R-a, Block G, A 1550 Sq Ft Apartment Is Available For Rent",Bashundhara R-A,Dhaka,Apartment,1550,3,3,30000,1501-2000
2773 Sq Ft Flat With 4 Bedrooms Is Ready For Rent In Dhanmondi,Dhanmondi,Dhaka,Apartment,2773,4,4,70000,2501-3000
Flat For Rent In Uttara Sector 7 Near Uttara Sector 7 Park,Uttara,Dhaka,Apartment,1800,3,4,55000,1501-2000
A Modern Flat Of 700 Sq Ft Feet Is Ready For Rent In Mirpur-1,Mirpur,Dhaka,Apartment,700,2,2,15000,501-1000
Create Your Home In A 1300 Sq Ft Apartment For Rent In Bayazid,Bayazid,Chattogram,Apartment,1300,3,3,17000,1001-1500
Get Ready To Rent This Ideally Maintained 2300 Sq Ft Apartment Located In Baridhara,Baridhara,Dhaka,Apartment,2300,3,3,85000,2001-2500
Exquisite Flat For Rent In Baridhara Near Baridhara Jameh Masjid,Baridhara,Dhaka,Apartment,2300,3,3,85000,2001-2500
"A Full Furnished  Flat For Rent Near High Commission Of Malaysia, In Baridhara",Baridhara,Dhaka,Apartment,1485,3,4,150000,1001-1500
Apartment Is Up For Rent At South Khulshi Near To Khulshi Police Station,Khulshi,Chattogram,Apartment,1500,3,3,25000,1001-1500
A Nice 1500 Sq Ft Living Space With Reasonable Price Is Up For Rent In Bashundhara R-a.,Bashundhara R-A,Dhaka,Apartment,1500,3,3,28000,1001-1500
Ready Flat 1150 Sq Ft Is Now For Rent In Shekhertek Nearby Shekhertek Bazar,Mohammadpur,Dhaka,Apartment,1150,3,2,13000,1001-1500
1450 Sq Ft Flat With Great Rooms For Rent In Mirpur-10,Mirpur,Dhaka,Apartment,1450,3,4,24000,1001-1500
"Grab This 1700 Sq Ft Apartment For Rent In Dakshin Khan, Naddapara",Dakshin Khan,Dhaka,Apartment,1700,3,3,20000,1501-2000
An Affordable Apartment Of 1260 Sq Ft Is Waiting For Rent In East Rampura,Rampura,Dhaka,Apartment,1260,3,3,24000,1001-1500
"2500 Square Feet Apartment Is Ready For Rent In A Pleasing Area Of Bashundhara, Block C",Bashundhara R-A,Dhaka,Apartment,2500,4,5,50000,2001-2500
"Hold Your Memories In This Tranquil Flat Of 700 Sq Ft Ready To Get Rented In Shyamoli, Dhaka Housing Main Road",Shyamoli,Dhaka,Apartment,700,2,2,15000,501-1000
In Banasree Near To Faizur Rahman Ideal Institute 1600 Square Feet Residential Apartment Is For Rent.,Banasree,Dhaka,Apartment,1600,4,4,32000,1501-2000
"Find Your Desired Apartment At This 1350 Sq Ft Ready Flat For Rent At Shantinagar, Peer Saheber Goli",Shantinagar,Dhaka,Apartment,1350,3,3,28000,1001-1500
Valuable 1750 Square Feet Apartment Is Available For Rent In Shyamoli,Shyamoli,Dhaka,Apartment,1750,3,4,27000,1501-2000
Commodious 1750 Square Feet Apartment Is Available For Rent In Shyamoli,Shyamoli,Dhaka,Apartment,1750,3,4,27000,1501-2000
Modest 1400 Square Feet Apartment For Rent In Kalabagan,Kalabagan,Dhaka,Apartment,1400,3,3,35000,1001-1500
1600 Square Apartment Is For Rent In New Eskaton Road,Eskaton,Dhaka,Apartment,1600,3,3,50000,1501-2000
"700 Sq Ft Great Flat For Rent In Tejgaon, Farmgate",Tejgaon,Dhaka,Apartment,700,2,2,22000,501-1000
A Flat For Residential Purpose In The Hub Of Uttara-4 With 1450 Sq Ft Is Up For Rent.,Uttara,Dhaka,Apartment,1450,3,3,30000,1001-1500
"Looking For A Tasteful Home To Rent In Bashundhara R-a, Check This One",Bashundhara R-A,Dhaka,Apartment,1550,3,3,30000,1501-2000
1200 Square Feet Apartment For Rent In Adabor,Adabor,Dhaka,Apartment,1200,3,3,22000,1001-1500
1055 Sq Ft Three Bedroom Apt | Vacant Now | Ready To Rent in Lalmatia,Lalmatia,Dhaka,Apartment,1055,3,2,35000,1001-1500
At Shyamoli 1550 Sq Ft Nice Flat Up For Rent Near Datasoft Systems Bangladesh Limited,Shyamoli,Dhaka,Apartment,1550,3,3,25000,1501-2000
Pursue This 1200 Square Feet Apartment For Rent In New Eskaton Road,Eskaton,Dhaka,Apartment,1200,3,3,35000,1001-1500
A Great Flat Of 4200 Square Feet Is Up For Rent In Gulshan 1,Gulshan,Dhaka,Apartment,4200,3,4,250000,
4200 Square Feet Apartment For Rent In The Great Location Of Gulshan 1,Gulshan,Dhaka,Apartment,4200,3,4,250000,
"Dwell In This 1200 Sq Ft Apartment For Rent In Mirpur, Section 1",Mirpur,Dhaka,Apartment,1200,3,3,18000,1001-1500
Live In This Well Designed Flat Of 700 Sq Ft Which Is Up For Rent In West Dhanmondi,Dhanmondi,Dhaka,Apartment,700,2,2,17000,501-1000
We Are Offering You A 1720 Sq Ft Apartment For Rent In West Rampura,Rampura,Dhaka,Apartment,1720,3,3,40000,1501-2000
"View This 1720 Sq Ft Apartment Ready For Rent In Mohanagar Housing, Rampura",Rampura,Dhaka,Apartment,1720,3,3,40000,1501-2000
Grab This 1720 Sq Ft Apartment Ready For Rent In West Rampura,Rampura,Dhaka,Apartment,1720,3,3,40000,1501-2000
We Are Happy To Present This Modern 2400 Sq Ft Apartment For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,2400,3,3,100000,2001-2500
3100 Sq Ft Delightful Flat Is For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,3100,4,4,220000,3001-3500
1750 Square Feet Pleasant Apartment Is For Rent In Shyamoli,Shyamoli,Dhaka,Apartment,1750,3,4,27000,1501-2000
For Rental Purpose 1250 Sq Ft Flat Is Now Up To Rent In Pahartali Close To Pahartali Eye Hospital,9 No. North Pahartali Ward,Chattogram,Apartment,1250,3,3,20000,1001-1500
2000 Sq Ft Flat For Rent In Khulshi Near Khulshi Police Station,Khulshi,Chattogram,Apartment,2000,4,4,35000,1501-2000
"Find Your Desired Home At This 1650 Sq Ft Well Featured Flat For Rent At Darussalam, Mirpur",Mirpur,Dhaka,Apartment,1650,4,4,25000,1501-2000
We Bring You A Beautiful And Distinct Flat Of 1200 Sq Ft For Rent In Mirpur-2,Mirpur,Dhaka,Apartment,1200,3,3,22000,1001-1500
960 Sq Ft Apartment Is Ready For Rent In Aftabnagar,Aftab Nagar,Dhaka,Apartment,960,2,2,18000,501-1000
Get A Look At This Lovely Flat For Rent Featuring 960 Sq Ft In Aftab Nagar,Aftab Nagar,Dhaka,Apartment,960,2,2,18000,501-1000
"To Live A Secure Life You Can Take This 960 Sq Ft Flat For Rent At Aftab Nagar, Block F",Aftab Nagar,Dhaka,Apartment,960,2,2,18000,501-1000
960 Sq Ft Apartment Is Ready For Rent In Aftab Nagar,Aftab Nagar,Dhaka,Apartment,960,2,2,18000,501-1000
"2100 Sq Ft Flat To Rent In The Prominent Location Of Bashundhara R-a, Block I",Bashundhara R-A,Dhaka,Apartment,2100,3,3,42000,2001-2500
For You 3 Bedroom Flat Is Now For Rent In Shyamoli,Shyamoli,Dhaka,Apartment,1600,3,4,27000,1501-2000
Prominent Location | Bright and Cozy | For Rent | 1250 SQ FT Apartment,Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
Well-ventilated Residential Apartment For Rent In Pc Culture Housing,Mohammadpur,Dhaka,Apartment,800,2,2,16000,501-1000
"If You Are Looking For A New Beautiful Home In Mohammadpur For Rent, Check This 800 Sq Ft Flat",Mohammadpur,Dhaka,Apartment,800,2,2,17000,501-1000
Secure Your Dream Flat Of 1250 Sq Ft In Bashundhara R-A Today!,Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
Discover A Tranquil 1250 Sq Ft Residential Rental Property In Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
Explore This 1250 Sq Ft Residential Flat For Rent In The Heart Of Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
"Find A Stunning 3-Bedroom Ready Flat For Rent In block j, Bashundhara R-A",Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
3BR Apartment | Spacious Layout | Well Maintained | Ready To Move In,Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
"Don’t Miss Out On This Attractive 1250 Sq Ft Flat For Rent In Block J, Bashundhara R-A!",Bashundhara R-A,Dhaka,Apartment,1250,3,3,25000,1001-1500
Well-built and properly designed residential apartment of 800 SQ FT in Shameem Sharani for rent,Mirpur,Dhaka,Apartment,800,2,2,15000,501-1000
4000 Sq Ft Residential Flat With 4 Bedrooms Is Up For Rent In Baridhara,Baridhara,Dhaka,Apartment,4000,4,4,270000,3501-4000
Spaciously Designed And Strongly Structured This Apartment Is Now Vacant For Rent In Banani Near By Banani Bidyaniketan School & College.,Banani,Dhaka,Apartment,1850,3,3,80000,1501-2000
"1600 Sq Ft Fine Flat Is Now For Rent Which Is In Nikunja 2, Near Rupali Bank Limited",Nikunja,Dhaka,Apartment,1600,3,3,60000,1501-2000
A Nice Residential Flat For Rent Can Be Found In Adabor Nearby Baitul Aman Housing Society Jame Mosque,Adabor,Dhaka,Apartment,1110,3,3,22000,1001-1500
Secure Your Dream Flat Of 1435 Sq Ft In Shantinagar Today!,Shantinagar,Dhaka,Apartment,1435,3,3,32000,1001-1500
Grab This Lovely Flat For Rent In Bashundhara Close To Southeast Bank Limited Before It's Rented Out.,Bashundhara R-A,Dhaka,Apartment,1300,3,3,40000,1001-1500
"Take A Look At This 1200 Sq Ft Flat For Rent In Mohammadpur, Nobodoy Housing Society",Mohammadpur,Dhaka,Apartment,1200,3,3,17000,1001-1500
Introduce Yourself To A Rental Apartment Located At South Khulsi Near To Port City University,Khulshi,Chattogram,Apartment,1500,3,4,25000,1001-1500
"Grab A 1255 Sq Ft Flat For Rent At Block B, Lalmatia",Lalmatia,Dhaka,Apartment,1255,3,3,35000,1001-1500
Good News! This 1600 Sq Ft Flat For Rent In Bashundhara R-a Which Can Be Your Next Destination,Bashundhara R-A,Dhaka,Apartment,1600,3,3,30000,1501-2000
Get This Cozy 1600 Sq Ft Flat For Rent In West Dhanmondi,Dhanmondi,Dhaka,Apartment,1600,3,3,50000,1501-2000
Get Ready For Your Countless Peaceful Days By Renting This 1700 Sq Ft Flat At West Dhanmondi.,Dhanmondi,Dhaka,Apartment,1600,3,3,50000,1501-2000
Grab This Nice 2100 Sq Ft Apartment For Rent In West Dhanmondi,Dhanmondi,Dhaka,Apartment,2100,3,3,60000,2001-2500
